peak_Player-additional,peak_Age,peak_G,peak_GS,peak_MP,peak_FG,peak_FGA,peak_FG%,peak_3P,peak_3PA,peak_3P%,peak_2P,peak_2PA,peak_2P%,peak_FT,peak_FTA,peak_FT%,peak_ORB,peak_DRB,peak_TRB,peak_AST,peak_STL,peak_BLK,peak_TOV,peak_PF,peak_PTS,peak_ORtg,peak_DRtg,peak_AST_2_TOV,peak_AST_2_FG,peak_PPP,peak_Season,peak_PER,peak_TS%,peak_3PAr,peak_FTr,peak_ORB%,peak_DRB%,peak_TRB%,peak_AST%,peak_STL%,peak_BLK%,peak_TOV%,peak_USG%,peak_OWS,peak_DWS,peak_WS,peak_WS/48,peak_OBPM,peak_DBPM,peak_BPM,peak_VORP,peak_Dist.,peak_2P_prop,peak_0-3_prop,peak_3-10_prop,peak_10-16_prop,peak_16-3P_prop,peak_3P_prop,peak_2P_fg%,peak_0-3_fg%,peak_3-10_fg%,peak_10-16_fg%,peak_16-3P_fg%,peak_3P_fg%,peak_2P_%astd,peak_3P_%astd,peak_dunk_%FGA,peak_dunk_#,peak_corner_%3PA,peak_corner_3P%,peak_heave_Att.,peak_heave_#
danietr01,25.0,63.0,6.0,16.42,8.1,19.5,0.42,5.9,14.0,0.42,2.23,5.53,0.41,1.37,1.73,0.74,0.7,4.03,4.7,1.87,0.97,0.2,2.07,4.07,23.47,107.67,112.0,0.9,0.1,1.05,2016.0,11.7,0.58,0.72,0.09,1.5,9.03,5.17,6.23,0.97,0.33,9.23,19.77,0.83,0.4,1.27,0.07,0.5,-1.67,-1.23,0.0,22.03,0.28,0.04,0.04,0.06,0.14,0.72,0.41,0.44,0.44,0.34,0.39,0.42,0.72,0.9,0.0,0.0,0.21,0.55,1.33,0.0
datomlu01,26.5,27.5,0.5,8.48,8.75,21.0,0.42,2.9,8.95,0.31,5.85,12.05,0.49,0.95,1.15,0.9,1.85,6.5,8.4,2.25,0.9,0.95,2.25,3.9,21.4,98.5,109.5,1.0,0.11,0.9,2013.5,11.55,0.5,0.43,0.06,3.8,14.7,9.1,7.3,0.9,1.45,9.45,20.45,0.0,0.15,0.15,0.04,-0.95,-1.45,-2.4,0.0,17.8,0.57,0.13,0.06,0.13,0.25,0.43,0.49,0.72,0.48,0.45,0.38,0.31,0.58,0.97,0.02,2.0,0.16,0.16,0.0,0.0
davisan01,34.33,67.33,63.67,33.34,6.73,15.8,0.43,0.0,0.0,0.0,6.73,15.8,0.43,4.87,6.23,0.78,4.2,8.43,12.6,2.93,0.8,1.47,2.97,4.13,18.37,102.0,103.67,0.98,0.19,0.85,2002.33,13.47,0.5,0.0,0.39,8.77,18.43,13.47,9.23,0.8,2.03,14.1,18.33,1.63,2.57,4.2,0.09,-1.1,-0.17,-1.27,0.47,8.8,1.0,0.35,0.16,0.29,0.21,0.0,0.43,0.55,0.34,0.42,0.32,0.0,0.67,0.0,0.09,53.0,0.0,0.0,0.0,0.0
davisan02,24.0,62.0,62.0,34.5,13.1,25.33,0.52,0.93,2.93,0.25,12.17,22.37,0.54,8.8,10.83,0.82,3.77,11.13,14.9,4.4,2.1,3.63,2.73,3.27,36.0,121.67,102.33,1.63,0.17,1.09,2017.0,29.5,0.6,0.12,0.43,8.43,24.57,16.57,15.23,2.1,6.07,8.37,28.87,7.67,3.9,11.53,0.26,6.37,2.4,8.77,5.8,10.0,0.88,0.35,0.19,0.16,0.18,0.12,0.54,0.75,0.41,0.42,0.36,0.25,0.64,1.0,0.15,152.67,0.19,0.33,2.33,0.0
davisba01,23.67,65.0,60.0,38.31,9.93,24.93,0.4,3.47,10.4,0.34,6.5,14.53,0.44,4.73,6.9,0.67,1.3,4.43,5.73,11.13,2.9,0.6,4.23,3.9,28.03,105.33,104.33,2.63,0.45,0.87,2002.67,19.9,0.5,0.41,0.28,2.7,9.67,6.1,39.07,2.9,0.83,13.17,27.4,3.83,2.83,6.7,0.13,4.03,0.3,4.37,4.0,15.17,0.59,0.29,0.06,0.08,0.15,0.41,0.44,0.55,0.33,0.31,0.37,0.34,0.24,0.56,0.02,23.33,0.11,0.34,4.33,0.0
davisem01,33.5,26.0,10.5,20.9,4.85,13.55,0.36,1.55,5.1,0.29,3.35,8.4,0.39,1.85,2.3,0.83,1.05,4.8,5.85,5.1,1.85,0.3,3.7,4.45,13.1,87.0,108.0,1.38,0.38,0.72,2001.5,7.25,0.45,0.38,0.17,2.25,10.25,6.35,15.35,1.85,0.45,20.3,15.8,-0.5,0.3,-0.2,-0.02,-3.7,-0.65,-4.4,-0.35,15.95,0.62,0.19,0.09,0.11,0.23,0.38,0.39,0.53,0.2,0.44,0.33,0.29,0.5,0.97,0.0,0.5,0.49,0.35,1.0,0.0
davisgl01,25.0,62.67,20.67,27.43,8.43,18.83,0.45,0.03,0.2,0.18,8.4,18.63,0.45,4.27,5.87,0.73,2.97,7.53,10.53,2.57,1.7,0.77,2.47,5.7,21.13,101.33,103.33,1.03,0.14,0.88,2010.0,12.83,0.49,0.01,0.32,6.97,16.5,11.9,8.13,1.7,1.13,10.37,21.13,0.5,2.63,3.13,0.08,-2.37,0.37,-2.0,0.0,10.43,0.99,0.31,0.18,0.14,0.36,0.01,0.45,0.63,0.36,0.38,0.35,0.18,0.7,0.33,0.02,11.67,0.28,0.33,1.33,0.0
davishu01,31.5,47.0,9.0,15.88,5.8,13.85,0.42,2.25,5.85,0.39,3.55,8.05,0.44,0.75,0.95,0.8,0.65,4.1,4.75,4.8,1.0,0.05,1.9,3.25,14.7,105.0,107.5,2.53,0.35,0.91,2001.5,9.75,0.51,0.42,0.07,1.4,8.85,5.05,14.5,1.0,0.1,11.75,13.9,0.75,0.35,1.1,0.07,-1.4,-0.4,-1.8,0.15,19.05,0.58,0.07,0.08,0.08,0.35,0.42,0.44,0.52,0.66,0.56,0.43,0.39,0.67,0.95,0.0,0.0,0.1,0.4,0.0,0.0
davisjo02,24.0,42.0,5.0,7.81,6.5,17.1,0.38,2.9,8.2,0.36,3.5,8.9,0.4,2.2,2.6,0.82,4.5,7.7,12.2,1.8,1.2,0.6,2.3,6.9,18.0,102.0,105.0,0.78,0.11,0.88,2004.0,11.4,0.49,0.48,0.15,9.8,17.4,13.5,6.0,1.2,1.0,11.2,18.0,0.2,0.4,0.5,0.08,-1.5,-0.9,-2.4,0.0,13.6,0.52,0.41,0.04,0.02,0.05,0.48,0.4,0.48,0.0,0.0,0.17,0.36,0.74,0.95,0.09,8.0,0.24,0.31,0.0,0.0
davispa01,23.0,26.67,0.67,8.83,6.47,16.27,0.4,0.0,0.07,0.0,6.47,16.2,0.4,2.7,3.7,0.7,5.83,6.37,12.13,2.27,1.67,1.2,2.3,8.1,15.63,97.0,108.33,0.98,0.14,0.77,2007.0,10.3,0.44,0.0,0.23,12.9,14.3,13.57,7.1,1.67,1.73,11.4,17.67,-0.03,0.2,0.13,0.03,-3.97,-0.53,-4.47,-0.17,9.63,1.0,0.37,0.1,0.19,0.34,0.0,0.4,0.6,0.35,0.32,0.26,0.0,0.66,0.0,0.05,3.0,0.0,0.0,0.0,0.0
davisri01,24.67,79.67,61.33,36.08,9.33,20.97,0.45,1.47,3.87,0.38,7.87,17.1,0.46,4.67,6.1,0.77,1.37,5.1,6.47,6.4,1.8,0.5,4.07,3.27,24.8,102.33,107.67,1.58,0.31,0.9,2003.67,16.03,0.53,0.19,0.29,3.07,11.17,7.13,22.5,1.8,0.7,14.63,24.0,2.6,1.8,4.37,0.07,0.93,-0.87,0.1,1.47,14.33,0.81,0.22,0.07,0.18,0.34,0.19,0.46,0.66,0.36,0.39,0.41,0.38,0.53,0.84,0.06,64.67,0.29,0.39,5.67,0.33
daviste02,23.67,55.33,6.67,15.93,8.9,20.63,0.43,4.4,12.23,0.36,4.5,8.37,0.54,2.37,2.87,0.82,1.37,7.23,8.53,3.97,2.03,0.77,3.0,5.7,24.6,106.67,111.0,1.32,0.2,0.99,2020.67,13.77,0.56,0.59,0.14,3.13,16.37,9.73,12.4,2.03,1.37,12.2,22.27,0.4,1.1,1.5,0.07,-0.6,-0.0,-0.53,0.37,16.97,0.41,0.23,0.12,0.03,0.02,0.59,0.54,0.69,0.36,0.28,0.37,0.36,0.5,0.87,0.04,12.0,0.23,0.41,1.0,0.0
dayeau01,22.33,65.33,6.67,15.21,7.47,17.17,0.44,2.5,6.6,0.37,4.97,10.53,0.47,2.63,3.33,0.78,1.9,8.2,10.07,2.73,1.37,1.57,2.43,6.47,20.1,106.67,108.0,1.16,0.16,0.95,2010.33,12.9,0.54,0.39,0.19,4.03,19.07,11.23,8.3,1.37,2.4,11.6,18.07,0.87,0.83,1.67,0.08,-1.07,0.17,-0.9,0.27,16.03,0.61,0.19,0.09,0.15,0.19,0.39,0.47,0.55,0.51,0.43,0.36,0.37,0.59,0.95,0.03,8.0,0.36,0.37,1.33,0.0
decolna01,25.5,59.5,4.5,11.64,6.2,14.6,0.43,1.8,5.0,0.36,4.45,9.6,0.46,2.55,3.0,0.84,1.4,6.25,7.6,7.15,2.3,0.45,4.05,4.9,16.8,100.0,102.5,1.78,0.5,0.84,2012.5,12.1,0.53,0.34,0.21,3.2,13.5,8.55,20.65,2.3,0.7,20.45,17.85,0.15,1.05,1.15,0.08,-1.75,1.25,-0.5,0.25,14.35,0.66,0.29,0.08,0.09,0.2,0.34,0.46,0.63,0.3,0.36,0.32,0.36,0.53,0.9,0.0,1.0,0.3,0.37,0.5,0.0
dedmode01,28.0,67.33,45.0,22.5,7.17,13.37,0.55,1.33,3.57,0.37,5.87,9.8,0.6,2.4,3.17,0.76,3.7,12.4,16.1,2.4,1.57,1.97,2.47,6.03,18.07,116.0,105.0,0.97,0.18,1.05,2017.0,15.93,0.62,0.24,0.25,8.37,27.9,18.17,7.37,1.57,3.43,14.63,15.33,2.07,2.27,4.3,0.14,-0.7,1.1,0.4,0.9,9.67,0.76,0.45,0.15,0.09,0.07,0.24,0.6,0.73,0.42,0.42,0.42,0.25,0.77,0.66,0.18,59.0,0.25,0.28,0.0,0.0
dekkesa01,23.0,65.67,2.67,15.76,7.07,14.77,0.48,1.27,4.47,0.26,5.8,10.33,0.57,1.67,2.73,0.61,2.93,6.47,9.4,2.5,1.63,0.53,1.57,3.2,17.03,110.33,111.67,1.63,0.17,0.97,2017.0,12.63,0.53,0.3,0.18,6.67,14.7,10.63,7.4,1.63,0.93,8.87,15.53,1.03,0.77,1.77,0.08,-1.0,-0.63,-1.63,0.17,10.13,0.7,0.51,0.12,0.03,0.05,0.3,0.57,0.67,0.28,0.38,0.34,0.26,0.72,0.94,0.13,35.67,0.28,0.31,1.33,0.0
delanma01,27.5,63.5,2.5,17.94,5.5,14.5,0.38,1.6,5.15,0.3,3.85,9.4,0.41,3.3,4.05,0.8,0.4,4.45,4.85,7.75,1.6,0.15,3.5,4.2,15.85,98.0,111.0,2.23,0.54,0.8,2016.5,9.05,0.49,0.36,0.28,0.95,9.9,5.45,23.25,1.6,0.3,17.5,17.6,-0.4,0.95,0.55,0.03,-3.75,-0.35,-4.1,-0.6,17.15,0.64,0.14,0.08,0.08,0.34,0.36,0.41,0.48,0.19,0.34,0.44,0.3,0.32,0.81,0.0,1.5,0.27,0.29,1.5,0.0
delfica01,28.33,63.67,37.0,29.35,7.0,17.47,0.4,3.77,10.13,0.37,3.23,7.33,0.44,1.83,2.3,0.81,0.83,6.6,7.43,4.13,2.13,0.37,2.23,3.0,19.63,105.33,104.0,1.87,0.24,0.95,2010.33,13.1,0.53,0.58,0.13,1.77,14.87,8.17,12.87,2.13,0.5,10.9,18.1,1.33,2.6,3.93,0.1,0.23,1.17,1.47,1.63,18.43,0.42,0.16,0.06,0.04,0.15,0.58,0.44,0.57,0.31,0.4,0.39,0.37,0.52,0.96,0.02,13.0,0.36,0.44,0.67,0.0
delkto01,29.67,51.33,18.67,22.32,8.33,20.03,0.41,2.9,7.67,0.38,5.4,12.37,0.44,2.53,3.3,0.78,1.77,5.4,7.13,4.53,1.93,0.27,2.23,3.67,22.03,105.33,104.33,2.06,0.23,0.93,2002.67,14.53,0.52,0.4,0.16,3.7,11.83,7.67,14.8,1.93,0.37,9.6,20.6,1.3,1.37,2.67,0.1,0.27,0.03,0.33,0.77,17.1,0.6,0.16,0.08,0.09,0.26,0.4,0.44,0.61,0.28,0.37,0.41,0.38,0.47,0.69,0.0,0.67,0.21,0.31,1.0,0.0
dellama01,24.0,71.67,10.33,20.94,4.93,12.57,0.39,2.53,6.4,0.4,2.4,6.17,0.39,1.4,1.7,0.81,1.17,3.6,4.73,8.2,1.13,0.17,2.63,5.17,13.83,109.67,110.0,3.14,0.65,0.87,2014.0,10.17,0.52,0.51,0.14,2.53,7.87,5.17,23.13,1.13,0.27,16.5,13.9,1.67,0.93,2.6,0.08,-1.43,-0.5,-1.93,0.07,17.1,0.49,0.08,0.21,0.12,0.08,0.51,0.39,0.52,0.35,0.34,0.43,0.4,0.37,0.88,0.0,0.0,0.27,0.42,0.67,0.0
denglu01,24.0,72.67,72.67,38.67,9.07,19.5,0.46,1.3,3.67,0.28,7.77,15.83,0.48,4.03,5.27,0.77,2.1,6.7,8.83,3.73,1.43,0.83,2.53,2.5,23.43,109.33,100.67,1.48,0.19,0.96,2009.0,16.1,0.54,0.19,0.27,4.67,14.23,9.57,11.8,1.43,1.17,10.37,20.97,4.23,4.8,9.0,0.15,1.13,1.0,2.13,2.97,12.8,0.81,0.29,0.14,0.08,0.3,0.19,0.48,0.66,0.41,0.28,0.4,0.28,0.61,0.99,0.04,45.67,0.33,0.41,2.67,0.0
derozde01,28.67,71.67,71.67,34.33,12.1,25.77,0.47,0.87,3.1,0.28,11.23,22.67,0.5,9.33,11.03,0.85,1.13,5.33,6.43,7.73,1.43,0.37,3.17,2.77,34.57,116.33,111.33,2.52,0.31,1.02,2017.67,22.33,0.57,0.12,0.43,2.5,11.87,7.17,25.87,1.43,0.53,9.4,30.0,6.47,2.23,8.67,0.17,3.53,-0.57,2.97,3.03,12.17,0.88,0.18,0.22,0.25,0.22,0.12,0.5,0.66,0.48,0.46,0.42,0.28,0.23,0.82,0.02,24.33,0.34,0.33,2.33,0.0
diakima01,26.0,22.0,2.0,8.0,6.8,14.2,0.48,2.0,6.0,0.33,4.8,8.3,0.59,0.6,0.6,1.0,2.3,6.3,8.5,2.3,1.1,2.6,3.4,7.4,16.2,99.0,109.0,0.68,0.16,0.91,2022.0,9.0,0.56,0.42,0.04,5.4,14.7,10.0,6.3,1.1,4.7,19.1,16.0,-0.1,0.3,0.2,0.05,-4.9,1.6,-3.4,-0.1,13.9,0.58,0.24,0.2,0.12,0.02,0.42,0.59,0.83,0.4,0.33,1.0,0.33,0.82,0.86,0.08,4.0,0.43,0.22,0.0,0.0
dialde01,26.0,32.0,0.0,9.34,7.2,21.1,0.34,0.2,1.9,0.09,7.0,19.2,0.37,3.2,4.2,0.75,2.5,7.4,9.8,6.2,1.8,0.7,2.8,2.3,17.8,88.0,101.0,2.21,0.29,0.69,2001.0,11.0,0.39,0.09,0.2,5.2,16.0,10.6,18.6,1.8,1.0,10.9,22.1,-0.3,0.4,0.1,0.02,-2.6,0.5,-2.1,0.0,14.3,0.91,0.21,0.05,0.19,0.46,0.09,0.37,0.44,0.33,0.26,0.38,0.09,0.55,1.0,0.02,0.0,0.18,0.0,0.0,0.0
diallch01,22.0,54.33,1.0,11.79,8.73,14.2,0.62,0.07,0.17,0.29,8.7,14.0,0.62,3.37,4.27,0.79,3.6,12.27,15.83,1.83,1.17,1.53,2.67,6.0,20.9,118.67,107.67,0.69,0.13,1.11,2018.0,17.0,0.65,0.01,0.3,8.27,27.53,18.03,5.57,1.17,2.7,14.23,16.8,1.1,0.83,1.93,0.14,-1.17,0.0,-1.13,0.13,5.73,0.99,0.52,0.24,0.14,0.08,0.01,0.62,0.76,0.48,0.52,0.36,0.19,0.83,0.67,0.13,22.67,0.39,0.17,0.33,0.0
diallha01,23.0,55.33,12.67,21.08,9.77,18.93,0.52,0.73,2.6,0.28,9.03,16.33,0.55,4.23,6.8,0.63,2.6,7.7,10.27,3.17,2.3,0.8,2.9,5.6,24.53,107.33,113.0,1.13,0.17,0.99,2021.0,15.23,0.56,0.14,0.36,5.63,17.73,11.5,10.77,2.3,1.43,11.63,21.93,0.43,1.23,1.67,0.07,-1.73,0.4,-1.33,0.2,8.57,0.86,0.38,0.29,0.11,0.08,0.14,0.55,0.71,0.45,0.35,0.41,0.28,0.53,0.96,0.1,42.33,0.44,0.28,1.33,0.33
diawaya01,25.0,60.33,18.0,13.98,4.63,12.57,0.37,2.4,7.73,0.31,2.23,4.83,0.46,1.37,2.07,0.63,1.57,3.5,5.07,2.43,0.93,0.33,1.3,5.2,12.97,102.0,111.67,1.86,0.2,0.88,2007.0,6.6,0.48,0.61,0.17,3.63,7.77,5.77,6.83,0.93,0.47,8.97,12.97,0.13,0.5,0.57,0.04,-3.1,-0.87,-3.9,-0.43,17.27,0.39,0.25,0.04,0.02,0.09,0.61,0.46,0.56,0.26,0.46,0.27,0.31,0.61,0.98,0.03,5.67,0.35,0.25,1.0,0.0
diawbo01,26.67,80.33,51.0,31.49,8.07,15.63,0.52,0.93,2.3,0.36,7.17,13.3,0.54,2.23,3.13,0.72,2.33,6.53,8.8,7.0,1.1,1.1,3.53,4.0,19.33,109.67,106.33,2.02,0.45,0.94,2008.67,15.27,0.57,0.14,0.2,5.33,14.23,9.9,20.8,1.1,1.63,17.1,18.2,3.37,2.8,6.17,0.12,0.87,0.87,1.77,2.43,9.87,0.86,0.38,0.21,0.08,0.19,0.14,0.54,0.65,0.49,0.4,0.41,0.36,0.55,1.0,0.02,19.33,0.29,0.37,1.33,0.0
dickada01,27.67,62.67,19.0,17.95,6.93,17.7,0.39,2.0,6.43,0.31,4.97,11.27,0.44,4.5,5.53,0.82,0.83,4.13,4.97,8.77,1.77,0.13,3.3,5.8,20.4,105.0,110.67,2.69,0.5,0.87,2005.67,13.2,0.51,0.36,0.31,1.73,9.43,5.5,28.4,1.77,0.2,14.03,20.27,1.13,0.7,1.8,0.07,-0.63,-0.7,-1.3,0.4,16.27,0.64,0.2,0.08,0.08,0.28,0.36,0.44,0.52,0.42,0.39,0.41,0.31,0.29,0.59,0.0,0.0,0.18,0.34,0.0,0.0
dienetr01,24.33,34.67,0.0,11.62,5.93,14.13,0.42,4.0,10.03,0.4,1.93,4.17,0.44,1.37,1.7,0.81,0.63,4.03,4.6,6.13,1.33,0.1,2.03,4.27,17.3,118.33,110.0,3.3,0.45,1.02,2006.33,12.63,0.58,0.7,0.12,1.43,9.0,5.27,18.17,1.33,0.17,11.83,14.73,0.77,0.3,1.07,0.12,0.93,-0.23,0.7,0.3,22.47,0.3,0.05,0.01,0.04,0.2,0.7,0.44,0.55,0.08,0.34,0.4,0.4,0.54,0.74,0.0,0.0,0.17,0.51,1.0,0.0
dienggo01,31.0,48.33,7.0,13.45,7.13,14.8,0.48,2.9,7.17,0.4,4.27,7.63,0.55,3.6,4.5,0.79,3.87,10.57,14.4,3.93,2.0,1.87,2.63,5.7,20.87,121.0,108.67,1.49,0.27,1.07,2020.0,17.87,0.62,0.48,0.31,8.53,23.8,16.1,11.47,2.0,3.4,13.67,17.3,1.13,0.97,2.07,0.16,1.0,1.37,2.33,0.7,16.13,0.52,0.23,0.1,0.1,0.08,0.48,0.55,0.73,0.38,0.51,0.34,0.4,0.72,0.95,0.06,13.67,0.17,0.48,0.0,0.0
dinwisp01,26.33,74.33,62.0,31.49,8.4,20.27,0.41,3.07,9.17,0.33,5.37,11.13,0.48,5.9,7.4,0.8,0.7,4.5,5.2,10.2,1.17,0.47,3.13,3.87,25.77,114.33,114.33,3.39,0.51,0.97,2019.33,16.57,0.55,0.46,0.36,1.57,10.0,5.8,32.7,1.17,0.8,11.7,23.87,4.0,1.6,5.6,0.12,1.87,-0.83,1.03,1.73,15.03,0.54,0.24,0.17,0.08,0.04,0.46,0.48,0.62,0.36,0.35,0.35,0.33,0.15,0.56,0.02,14.33,0.13,0.4,2.33,0.0
dioguik01,23.67,42.67,5.33,10.84,9.5,18.77,0.51,0.07,0.17,0.5,9.43,18.6,0.51,7.63,9.63,0.81,5.7,7.2,12.9,1.23,0.83,0.9,3.33,6.9,26.8,113.67,109.67,0.37,0.07,1.01,2006.67,17.77,0.58,0.01,0.52,12.57,16.2,14.37,4.43,0.83,1.33,12.83,23.0,0.9,0.47,1.33,0.13,-0.3,-1.83,-2.17,0.0,6.57,0.99,0.43,0.29,0.13,0.14,0.01,0.51,0.6,0.38,0.38,0.58,0.17,0.53,0.33,0.08,18.0,0.17,0.33,0.0,0.0
diopde01,25.0,80.33,25.67,17.77,3.03,6.17,0.49,0.0,0.03,0.25,3.03,6.1,0.49,1.57,2.87,0.55,5.93,9.23,15.13,1.17,1.37,4.33,2.0,8.0,7.67,111.33,100.33,0.59,0.19,0.81,2006.0,11.53,0.52,0.01,0.48,13.4,19.93,16.73,3.2,1.37,6.1,20.93,8.13,1.0,2.6,3.63,0.12,-2.27,2.17,-0.1,0.73,3.63,0.99,0.69,0.13,0.12,0.05,0.01,0.49,0.59,0.31,0.39,0.04,0.17,0.64,0.33,0.16,24.0,0.33,0.0,0.33,0.0
divacvl01,34.0,80.33,80.33,29.55,6.8,14.53,0.47,0.07,0.37,0.21,6.77,14.17,0.48,3.97,6.07,0.66,3.53,8.6,12.1,7.2,1.57,1.97,3.47,4.93,17.7,106.0,100.33,2.05,0.49,0.85,2002.0,16.3,0.51,0.02,0.42,7.8,17.87,13.0,21.1,1.57,2.6,16.7,18.0,3.07,3.47,6.53,0.13,0.53,1.8,2.3,2.6,7.3,0.98,0.41,0.27,0.09,0.2,0.02,0.48,0.63,0.36,0.3,0.4,0.21,0.6,1.0,0.05,35.0,0.22,0.07,1.0,0.0
divindo01,24.33,68.0,42.0,25.61,6.47,14.8,0.44,3.2,8.6,0.37,3.27,6.2,0.52,1.53,2.07,0.76,2.03,7.13,9.17,5.4,2.3,0.4,2.63,3.2,17.67,112.33,108.67,2.05,0.37,0.96,2020.33,13.3,0.56,0.59,0.14,4.73,15.4,10.23,15.03,2.3,0.8,14.33,16.37,1.47,2.53,4.03,0.11,-0.63,1.37,0.77,1.2,17.4,0.41,0.24,0.1,0.04,0.03,0.59,0.52,0.6,0.4,0.34,0.38,0.37,0.56,0.84,0.02,10.67,0.19,0.37,1.67,0.0
dixonju01,26.0,70.0,20.67,20.94,9.33,22.53,0.41,2.1,6.33,0.34,7.2,16.23,0.45,4.2,5.03,0.83,1.2,4.2,5.33,4.83,2.23,0.17,3.4,4.4,24.93,101.33,109.33,1.43,0.22,0.88,2004.0,14.43,0.5,0.28,0.22,2.47,9.37,5.8,16.93,2.23,0.23,12.1,24.1,0.9,0.63,1.53,0.05,-0.37,-1.07,-1.43,0.17,15.67,0.72,0.17,0.1,0.13,0.31,0.28,0.45,0.61,0.36,0.47,0.37,0.34,0.46,0.71,0.0,1.67,0.29,0.38,1.33,0.0
doleami01,27.0,61.0,3.67,13.65,6.37,14.6,0.43,0.0,0.03,0.0,6.37,14.57,0.44,2.27,2.9,0.76,3.67,8.73,12.43,1.83,1.2,1.27,2.03,6.97,14.97,100.0,103.0,0.93,0.12,0.84,2004.0,10.67,0.47,0.0,0.21,8.4,18.73,13.73,5.53,1.2,1.8,11.23,15.67,0.27,1.1,1.4,0.08,-3.13,-0.07,-3.17,-0.2,12.17,1.0,0.21,0.13,0.18,0.48,0.0,0.44,0.44,0.41,0.42,0.44,0.0,0.83,0.0,0.02,4.67,0.0,0.0,0.0,0.0
doncilu01,21.67,64.0,64.0,35.06,14.2,30.13,0.47,4.07,12.13,0.34,10.13,18.0,0.56,9.6,12.8,0.75,1.37,11.37,12.77,12.03,1.67,0.6,5.8,3.43,42.1,115.33,110.0,2.09,0.4,1.01,2020.67,27.13,0.59,0.4,0.43,3.13,25.47,14.27,44.67,1.67,1.07,14.0,37.27,5.87,3.0,8.87,0.19,7.13,1.4,8.5,5.97,15.03,0.6,0.19,0.24,0.12,0.04,0.4,0.56,0.76,0.5,0.44,0.39,0.34,0.14,0.22,0.01,11.0,0.04,0.28,6.33,0.0
doolike01,28.33,76.33,13.67,22.48,6.87,15.83,0.43,1.93,5.2,0.37,4.93,10.6,0.46,4.0,4.77,0.83,0.43,3.4,3.83,6.5,1.6,0.17,2.63,4.03,19.7,110.0,109.0,2.45,0.41,0.95,2008.33,13.0,0.55,0.33,0.3,0.93,7.5,4.27,20.23,1.6,0.27,12.77,18.1,2.0,1.4,3.43,0.1,-0.7,-0.07,-0.77,0.53,15.4,0.67,0.21,0.09,0.12,0.25,0.33,0.46,0.61,0.45,0.48,0.34,0.37,0.27,0.8,0.03,13.33,0.33,0.44,0.33,0.0
dorsejo01,29.0,56.0,13.0,12.26,4.9,9.1,0.54,0.0,0.05,0.0,4.9,9.1,0.54,2.25,5.6,0.38,6.9,10.6,17.5,2.1,2.35,1.6,3.15,8.4,12.05,103.0,103.5,0.66,0.23,0.82,2012.0,12.65,0.52,0.0,0.61,15.4,24.25,19.8,5.9,2.35,2.4,20.9,12.8,0.3,1.0,1.35,0.09,-2.7,0.4,-2.35,-0.05,1.95,1.0,0.83,0.16,0.0,0.0,0.0,0.54,0.59,0.31,0.0,0.0,0.0,0.66,0.0,0.22,23.0,0.0,0.0,0.5,0.0
dorsety01,21.5,52.0,8.0,15.97,7.3,18.75,0.39,3.35,9.6,0.35,4.0,9.2,0.44,2.45,3.7,0.67,1.4,5.85,7.15,3.95,0.95,0.2,1.9,3.45,20.4,102.0,114.0,2.08,0.21,0.91,2017.5,10.6,0.5,0.51,0.2,3.05,13.3,8.15,12.45,0.95,0.35,8.4,19.85,0.1,0.4,0.5,0.03,-1.4,-1.8,-3.2,-0.25,16.9,0.49,0.21,0.1,0.05,0.13,0.51,0.44,0.55,0.33,0.25,0.39,0.35,0.48,0.88,0.01,2.0,0.18,0.3,1.5,0.0
dortlu01,22.0,59.0,58.67,31.01,7.77,19.73,0.39,3.37,10.03,0.34,4.4,9.7,0.45,4.23,5.37,0.79,1.67,4.77,6.4,2.83,1.43,0.53,2.3,4.53,23.13,104.33,115.67,1.27,0.14,0.95,2021.0,11.23,0.52,0.51,0.27,3.57,10.53,7.0,8.87,1.43,1.0,9.43,21.6,0.17,1.4,1.53,0.04,-2.03,-0.87,-2.93,-0.43,15.33,0.49,0.24,0.19,0.03,0.03,0.51,0.45,0.57,0.34,0.33,0.38,0.34,0.49,0.89,0.03,20.0,0.17,0.42,0.67,0.0
dotsoda01,24.0,55.0,14.0,18.55,7.17,16.83,0.43,2.9,8.27,0.35,4.23,8.57,0.49,1.6,2.23,0.7,0.77,6.0,6.8,3.23,1.33,0.2,1.57,3.13,18.8,106.67,114.67,2.14,0.19,0.97,2018.0,11.1,0.53,0.49,0.13,1.67,13.43,7.47,9.97,1.33,0.43,8.07,17.03,0.53,0.53,1.0,0.05,-1.4,-0.67,-2.1,-0.07,18.0,0.51,0.17,0.06,0.09,0.19,0.49,0.49,0.62,0.29,0.49,0.45,0.35,0.58,0.9,0.01,2.0,0.18,0.38,0.67,0.0
doubyqu01,23.0,47.67,0.0,10.5,7.2,18.67,0.39,2.17,7.37,0.3,5.03,11.3,0.44,2.43,2.77,0.85,1.2,3.97,5.17,3.17,1.57,0.73,2.57,4.07,18.97,95.0,112.33,1.29,0.17,0.84,2007.0,9.63,0.48,0.39,0.15,2.7,9.2,5.93,10.1,1.57,1.07,11.43,19.87,-0.27,0.27,0.0,0.0,-2.17,-1.43,-3.57,-0.2,16.1,0.61,0.17,0.15,0.08,0.21,0.39,0.44,0.5,0.49,0.22,0.45,0.3,0.27,0.67,0.01,1.67,0.3,0.23,0.33,0.0
