peak_Player-additional,peak_Age,peak_G,peak_GS,peak_MP,peak_FG,peak_FGA,peak_FG%,peak_3P,peak_3PA,peak_3P%,peak_2P,peak_2PA,peak_2P%,peak_FT,peak_FTA,peak_FT%,peak_ORB,peak_DRB,peak_TRB,peak_AST,peak_STL,peak_BLK,peak_TOV,peak_PF,peak_PTS,peak_ORtg,peak_DRtg,peak_AST_2_TOV,peak_AST_2_FG,peak_PPP,peak_Season,peak_PER,peak_TS%,peak_3PAr,peak_FTr,peak_ORB%,peak_DRB%,peak_TRB%,peak_AST%,peak_STL%,peak_BLK%,peak_TOV%,peak_USG%,peak_OWS,peak_DWS,peak_WS,peak_WS/48,peak_OBPM,peak_DBPM,peak_BPM,peak_VORP,peak_Dist.,peak_2P_prop,peak_0-3_prop,peak_3-10_prop,peak_10-16_prop,peak_16-3P_prop,peak_3P_prop,peak_2P_fg%,peak_0-3_fg%,peak_3-10_fg%,peak_10-16_fg%,peak_16-3P_fg%,peak_3P_fg%,peak_2P_%astd,peak_3P_%astd,peak_dunk_%FGA,peak_dunk_#,peak_corner_%3PA,peak_corner_3P%,peak_heave_Att.,peak_heave_#
balkmre01,23.0,62.0,3.67,15.0,6.37,12.27,0.52,0.13,0.83,0.18,6.27,11.43,0.54,2.5,4.63,0.55,5.0,8.23,13.27,2.2,2.77,1.8,2.23,7.0,15.37,110.33,104.33,0.99,0.18,0.92,2007.0,14.8,0.54,0.07,0.39,11.27,18.37,14.8,6.8,2.77,2.67,13.63,14.3,0.93,1.3,2.23,0.12,-1.13,1.4,0.3,0.53,4.4,0.93,0.75,0.06,0.03,0.1,0.07,0.54,0.62,0.25,0.26,0.23,0.18,0.62,1.0,0.18,34.67,0.43,0.07,0.67,0.0
balllo01,22.33,47.33,46.67,33.54,6.67,16.6,0.4,3.83,10.3,0.37,2.77,6.3,0.44,1.03,1.6,0.66,1.4,6.77,8.2,8.67,2.43,1.1,3.47,3.1,18.17,105.67,110.0,2.49,0.53,0.87,2019.33,14.07,0.52,0.62,0.1,3.2,15.3,9.27,24.87,2.43,1.97,16.77,18.43,0.6,1.87,2.47,0.08,0.53,1.17,1.73,1.43,18.47,0.38,0.19,0.07,0.06,0.07,0.62,0.44,0.58,0.3,0.35,0.3,0.37,0.38,0.81,0.02,9.67,0.18,0.37,2.33,0.0
bambamo01,22.67,60.67,25.33,18.52,7.47,15.8,0.48,2.63,7.07,0.37,4.87,8.7,0.56,1.93,2.8,0.71,4.33,10.97,15.33,2.5,1.03,3.53,2.07,5.93,19.57,115.0,107.33,1.23,0.16,1.02,2020.67,16.57,0.58,0.45,0.18,9.63,24.8,17.13,7.77,1.03,6.67,10.93,16.97,1.23,1.83,3.07,0.13,-0.53,1.07,0.53,0.73,13.93,0.55,0.34,0.13,0.04,0.05,0.45,0.56,0.72,0.29,0.41,0.29,0.37,0.62,1.0,0.16,53.33,0.16,0.28,0.0,0.0
banede01,23.0,67.33,50.33,27.97,9.9,21.03,0.47,4.27,10.0,0.43,5.63,11.03,0.51,3.0,3.37,0.87,1.03,6.03,7.07,4.9,1.53,0.57,2.5,3.97,27.03,117.67,112.33,1.95,0.23,1.08,2021.0,16.3,0.6,0.48,0.15,2.23,13.5,7.8,14.97,1.53,1.03,9.93,21.77,3.2,2.1,5.3,0.13,1.73,0.07,1.8,1.9,16.2,0.52,0.19,0.17,0.09,0.07,0.48,0.51,0.64,0.44,0.45,0.44,0.43,0.61,0.83,0.01,5.67,0.2,0.46,1.0,0.0
banksma01,25.67,46.33,1.67,13.68,7.03,15.17,0.46,2.0,5.67,0.35,5.03,9.53,0.53,4.3,5.5,0.78,0.77,4.1,4.87,6.0,2.2,0.73,3.7,6.23,20.4,107.33,109.67,1.64,0.41,0.95,2006.67,13.4,0.58,0.36,0.38,1.8,9.13,5.53,18.13,2.2,1.03,17.4,18.9,0.57,0.53,1.07,0.08,-1.0,0.17,-0.87,0.17,14.83,0.64,0.33,0.04,0.05,0.22,0.36,0.53,0.65,0.4,0.35,0.42,0.35,0.26,0.89,0.01,2.0,0.25,0.51,1.33,0.0
barbole01,27.33,72.0,10.0,23.97,10.0,20.93,0.48,2.77,7.0,0.4,7.2,13.9,0.52,3.9,4.63,0.84,0.83,3.8,4.63,5.27,2.07,0.3,2.57,3.9,26.67,114.33,108.0,2.06,0.25,1.04,2009.33,17.7,0.58,0.33,0.22,2.0,8.33,5.33,16.17,2.07,0.43,10.03,22.7,3.9,1.43,5.33,0.14,1.67,0.03,1.63,1.8,13.03,0.67,0.34,0.1,0.08,0.14,0.33,0.52,0.64,0.33,0.35,0.44,0.4,0.52,0.89,0.0,0.0,0.31,0.47,3.33,0.0
bareajo01,32.0,59.33,10.67,22.6,9.6,22.17,0.43,3.43,9.23,0.37,6.17,12.93,0.48,2.6,3.17,0.81,0.63,4.9,5.53,11.93,0.93,0.1,4.1,2.67,25.17,107.0,111.67,2.89,0.54,0.91,2016.0,16.8,0.53,0.42,0.14,1.33,11.2,6.1,40.27,0.93,0.13,14.67,24.97,1.73,0.73,2.47,0.09,2.43,-1.53,0.9,0.97,15.13,0.58,0.17,0.2,0.12,0.1,0.42,0.48,0.6,0.42,0.46,0.4,0.37,0.17,0.53,0.0,0.0,0.09,0.29,1.33,0.0
bargnan01,24.33,63.0,56.67,33.24,10.0,22.23,0.45,2.17,6.07,0.36,7.8,16.17,0.48,5.3,6.33,0.83,1.57,7.43,8.97,2.3,0.7,1.63,2.9,3.93,27.47,105.67,109.67,0.78,0.1,0.98,2009.33,16.0,0.55,0.28,0.28,3.6,16.3,10.07,7.8,0.7,2.43,10.33,24.57,2.13,1.27,3.43,0.08,1.07,-1.23,-0.17,0.8,14.9,0.72,0.2,0.13,0.13,0.26,0.28,0.48,0.62,0.44,0.46,0.41,0.36,0.68,0.97,0.04,33.0,0.02,0.17,1.67,0.33
barneha02,26.33,72.33,72.33,32.7,7.1,14.67,0.48,2.23,5.67,0.4,4.8,8.97,0.54,4.37,5.43,0.79,1.83,6.97,8.77,3.5,1.1,0.33,1.93,2.17,20.73,120.0,113.67,1.79,0.24,1.09,2018.33,14.83,0.61,0.39,0.36,4.1,15.73,9.93,10.13,1.1,0.5,10.17,16.97,4.23,1.5,5.73,0.12,1.07,-0.9,0.17,1.23,12.97,0.61,0.28,0.22,0.06,0.06,0.39,0.54,0.7,0.38,0.43,0.3,0.4,0.59,0.94,0.07,42.0,0.35,0.49,0.33,0.0
barnema02,30.67,74.67,26.0,24.82,7.03,15.13,0.47,2.03,6.17,0.33,4.97,8.97,0.56,2.8,3.77,0.74,3.0,8.0,11.07,3.67,1.63,1.37,2.6,5.4,18.97,112.0,103.0,1.41,0.25,0.98,2010.67,14.87,0.57,0.4,0.26,6.83,16.93,12.07,11.03,1.63,2.03,13.47,16.9,2.8,2.67,5.5,0.14,0.47,1.1,1.57,1.67,12.87,0.6,0.38,0.12,0.03,0.06,0.4,0.56,0.64,0.44,0.34,0.44,0.33,0.73,0.95,0.06,29.33,0.46,0.34,2.0,0.0
