PLAYER,YEAR,POS,HEIGHT,WEIGHT,STANDING REACH,WINGSPAN,STANDING VERTICAL,VERTICAL LEAP,LANE AGILITY,THREE QUARTER SPRINT
James Bouknight,2021,SG,75.5,190.0,101.5,80.25,30.0,35.9,11.2,3.2
Greg Brown III,2021,PF,79.25,206.4,107.0,84.25,33.5,39.0,10.98,3.19
Jared Butler,2021,PG,74.25,193.0,98.5,76.0,30.1,36.0,11.1,3.2
Justin Champagnie,2021,PF,77.75,206.4,104.0,81.5,27.0,35.0,11.94,3.34
Josh Christopher,2021,SG,75.25,214.8,101.0,81.25,29.5,37.5,11.32,3.14
Ayo Dosunmu,2021,SG,75.5,194.4,102.0,82.25,27.0,33.5,11.51,3.23
David Duke Jr.,2021,SG,76.25,203.6,102.5,80.75,30.0,39.0,11.21,3.08
Kessler Edwards,2021,PF,79.0,203.0,106.0,83.25,28.0,37.0,11.3,3.25
Luka Garza,2021,C,82.0,242.8,107.5,85.5,24.0,29.5,11.9,3.51
RaiQuan Gray,2021,PF,78.5,268.6,105.0,82.75,26.5,31.5,11.69,3.25
Quentin Grimes,2021,SG,76.0,205.0,101.0,80.0,30.5,38.5,11.09,3.07
Sam Hauser,2021,SF,78.75,217.4,102.0,81.25,28.5,34.5,11.14,3.34
Aaron Henry,2021,SF,76.5,209.6,103.5,82.75,29.0,35.0,11.68,3.07
Ariel Hukporti,2021,C,82.75,246.0,111.5,86.5,24.5,31.0,12.2,3.12
Matt Hurt,2021,PF,80.5,232.4,106.5,81.5,25.5,32.5,11.44,3.34
Nah'Shon Hyland,2021,SG,74.0,169.0,101.5,81.25,26.5,34.0,10.53,3.1
David Johnson,2021,SG,75.25,202.8,104.0,82.5,33.0,39.0,12.02,3.03
Jalen Johnson,2021,PF,79.75,209.6,106.0,84.25,29.1,34.2,11.5,3.3
Keon Johnson,2021,SG,75.5,184.8,97.0,79.25,41.5,48.0,11.45,3.0
Carlik Jones,2021,PG,72.0,173.6,97.5,77.0,31.5,36.0,10.96,3.16
Herbert Jones,2021,SF,78.0,206.4,106.0,84.25,28.5,36.5,11.02,3.25
Kai Jones,2021,PF,82.0,221.4,110.5,85.75,28.5,33.3,11.6,3.3
Corey Kispert,2021,SF,78.0,223.8,102.0,79.0,30.0,37.5,10.91,3.12
AJ Lawson,2021,SG/SF,77.5,179.2,99.5,78.75,33.0,41.0,11.0,2.98
Scottie Lewis,2021,SF,76.0,187.6,101.5,84.0,34.0,42.0,10.45,2.98
Isaiah Livers,2021,SF,77.75,231.8,104.5,81.25,28.9,33.8,11.5,3.3
Makur Maker,2021,C,82.25,232.2,112.0,85.75,25.5,31.0,11.87,3.34
Sandro Mamukelashvili,2021,C,81.0,239.8,106.5,85.25,30.5,36.5,11.63,3.21
Tre Mann,2021,PG,75.25,177.6,98.5,76.0,30.3,36.4,11.1,3.2
Miles McBride,2021,PG,73.0,195.2,99.5,80.75,31.0,38.5,11.08,3.1
Davion Mitchell,2021,PG,72.0,202.4,96.5,76.25,30.2,36.1,11.1,3.2
Isaiah Mobley,2021,PF,80.0,238.0,107.5,87.0,26.5,32.0,12.7,3.3
Moses Moody,2021,SG,76.5,210.6,105.0,84.75,29.5,34.9,11.3,3.3
Trey Murphy III,2021,SF,79.5,206.0,105.5,84.0,34.0,38.0,11.65,3.14
Daishen Nix,2021,PG,75.0,225.6,100.0,78.75,29.5,36.5,11.72,3.0
John Petty Jr.,2021,SG,76.5,186.2,103.5,81.5,27.5,34.0,11.51,3.35
Yves Pons,2021,PF,77.5,206.4,104.0,84.75,36.0,42.5,10.89,3.1
Jason Preston,2021,PG,75.0,180.6,100.5,80.5,30.5,38.5,10.82,3.13
