PLAYER,YEAR,POS,HEIGHT,WEIGHT,STANDING REACH,WINGSPAN,STANDING VERTICAL,VERTICAL LEAP,LANE AGILITY,THREE QUARTER SPRINT
Kenrich Williams,2018,SF,78.0,200.4,103.5,79.25,28.0,33.0,10.86,3.19
Trae Young,2018,PG,72.5,177.8,95.5,75.0,30.7,37.0,11.0,3.2
Edrice Adebayo,2017,PF/C,80.75,242.6,108.0,86.75,33.5,38.5,11.94,3.24
Jarrett Allen,2017,C,81.0,233.6,109.5,89.25,31.5,35.5,11.82,3.21
Kadeem Allen,2017,PG,73.0,192.4,99.5,81.25,33.0,35.5,11.24,3.15
Ike Anigbogu,2017,C,80.5,252.2,110.5,90.25,29.5,32.5,12.52,3.44
OG Anunoby,2017,SF,78.25,232.4,107.5,86.25,28.8,33.7,11.6,3.3
Jamel Artis,2017,SG/SF,77.5,213.2,105.0,82.0,23.5,31.0,11.62,3.44
Dwayne Bacon,2017,SG/SF,76.75,221.6,103.5,82.0,30.0,36.5,11.7,3.22
V.J. Beachem,2017,SG/SF,78.25,193.4,104.5,82.25,30.0,37.0,11.18,3.26
Jordan Bell,2017,PF,79.0,223.6,104.5,83.75,31.5,38.0,10.63,3.21
Jaron Blossomgame,2017,SF,77.75,218.6,104.5,82.0,31.0,35.5,11.47,3.17
Chris Boucher,2017,PF,80.0,182.2,110.5,88.0,29.6,35.2,11.3,3.3
Tony Bradley,2017,C,81.25,248.8,112.5,89.0,24.5,27.5,11.79,3.44
Isaiah Briscoe,2017,PG,73.25,222.4,99.5,81.0,28.0,33.5,10.95,3.38
Dillon Brooks,2017,SG/SF,77.0,220.2,100.5,78.0,31.0,37.5,11.14,3.21
Thomas Bryant,2017,PF/C,81.5,247.8,112.5,90.0,25.5,33.0,11.42,3.37
John Collins,2017,PF,80.25,225.2,106.5,83.25,33.0,37.5,11.66,3.27
Zach Collins,2017,PF/C,82.25,232.2,111.0,85.0,28.3,32.8,11.7,3.4
Tyler Dorsey,2017,SG,75.0,182.6,99.5,77.25,30.5,36.0,10.55,3.16
Damyean Dotson,2017,SG/SF,76.5,205.2,100.0,81.0,31.5,38.0,11.18,3.13
PJ Dozier,2017,SG,77.25,200.6,101.0,83.0,34.0,39.0,10.84,3.15
Jawun Evans,2017,PG,70.75,185.2,95.0,77.5,27.5,33.5,11.34,3.21
Terrance Ferguson,2017,SG/SF,77.5,184.4,103.0,80.75,28.5,38.0,11.16,3.32
De'Aaron Fox,2017,PG,74.0,169.6,100.0,78.5,30.7,37.0,11.0,3.2
Harry Giles,2017,PF,81.25,232.0,109.5,87.25,27.0,32.5,11.08,3.34
Nigel Hayes,2017,PF,78.25,254.2,104.5,87.25,29.0,33.5,11.81,3.27
Isaiah Hicks,2017,PF,79.25,233.4,105.0,84.5,31.5,37.0,12.31,3.36
Wesley Iwundu,2017,SG/SF,77.5,193.4,105.5,85.0,31.5,36.0,11.25,3.36
Frank Jackson,2017,PG,74.0,201.6,98.0,79.5,34.5,42.0,10.94,3.14
Justin A. Jackson,2017,SF,79.0,200.8,104.5,83.0,29.5,35.5,10.8,3.3
Peter Jok,2017,SG/SF,76.25,202.4,102.0,80.0,26.5,31.0,11.34,3.41
Luke Kennard,2017,SG/SF,76.5,196.2,98.5,77.25,29.8,35.4,11.2,3.2
Kyle Kuzma,2017,SG/SF,80.0,222.6,107.5,84.25,27.0,34.0,10.72,3.25
TJ Leaf,2017,PF,80.75,222.2,107.0,83.0,29.0,34.5,11.55,3.27
Tyler Lydon,2017,PF,80.25,215.0,107.5,84.0,29.5,33.5,11.68,3.46
Frank Mason III,2017,PG,71.0,188.8,94.0,75.25,34.0,41.0,11.41,3.18
Kennedy Meeks,2017,C,80.75,276.6,106.0,85.0,28.0,30.5,12.91,3.5
Donovan Mitchell,2017,SG,73.25,211.4,97.0,82.0,36.5,40.5,11.53,3.01
Monte Morris,2017,PG,73.25,175.2,96.5,76.0,28.0,33.5,11.0,3.19
Johnathan Motley,2017,PF,79.75,238.2,108.0,88.0,28.5,33.1,11.7,3.3
Svi Mykhailiuk,2017,SG/SF,78.5,219.6,100.0,77.0,27.0,33.0,12.4,3.53
Semi Ojeleye,2017,SG/SF,77.25,241.4,102.0,81.75,35.0,40.5,10.58,3.16
Cameron Oliver,2017,PF,79.0,238.6,106.5,85.25,28.0,39.5,12.17,3.16
Justin Patton,2017,C,82.0,229.0,111.5,87.0,26.0,30.5,11.8,3.46
Alec Peters,2017,PF,79.25,232.0,105.0,82.75,28.6,33.5,11.6,3.3
Ivan Rabb,2017,PF,80.75,219.6,109.0,85.5,28.5,32.5,12.68,3.35
Davon Reed,2017,SG/SF,76.5,206.2,102.0,84.0,28.5,36.0,11.37,3.34
Devin Robinson,2017,SF,79.0,189.6,106.0,84.75,35.5,41.5,12.85,3.23
Kobi Simmons,2017,PG,75.25,166.2,99.0,78.0,30.5,38.5,11.15,3.18
Edmond Sumner,2017,PG,76.0,176.4,102.5,81.0,30.2,36.3,11.1,3.2
Caleb Swanigan,2017,PF,79.5,245.6,108.0,87.0,28.3,32.9,11.7,3.3
Sindarius Thornwell,2017,SG/SF,75.5,211.6,103.0,82.0,27.0,30.5,11.48,3.36
Melo Trimble,2017,PG,73.25,195.2,95.5,74.0,24.5,32.0,10.75,3.27
Derrick Walton Jr.,2017,PG,71.0,188.6,95.0,74.5,26.0,32.5,11.28,3.29
Thomas Welsh,2017,PF/C,83.5,254.0,109.5,84.0,27.6,31.7,11.9,3.4
Derrick White,2017,PG,75.25,189.8,101.5,79.5,31.0,36.5,10.84,3.08
Nigel Williams-Goss,2017,PG,73.5,190.2,99.0,79.25,27.5,34.5,10.42,3.19
D.J. Wilson,2017,PF,80.75,234.4,109.5,87.0,28.4,33.0,11.7,3.3
Omer Yurtseven,2017,C,82.5,248.4,108.5,85.0,26.0,31.5,12.85,3.45
Ron Baker,2016,SG,75.25,212.4,97.5,81.75,30.0,35.5,10.77,3.45
Wade Baldwin IV,2016,PG,74.5,201.8,100.0,83.25,32.5,38.0,10.45,3.19
Cat Barber,2016,PG,73.5,173.0,95.5,77.5,30.6,36.9,11.0,3.2
Malik Beasley,2016,SG,75.5,189.8,100.5,79.0,30.0,35.9,11.2,3.2
DeAndre Bembry,2016,SG/SF,76.25,206.6,101.0,81.25,32.0,38.0,10.9,3.17
Ben Bentil,2016,PF,79.25,229.2,105.0,85.5,29.0,33.0,11.16,3.3
Joel Bolomboy,2016,PF,79.5,224.4,103.5,85.75,37.5,40.5,10.26,3.17
Malcolm Brogdon,2016,SG,75.75,223.0,98.0,82.5,30.5,35.5,10.77,3.31
Jaylen Brown,2016,SG/SF,77.25,222.8,102.5,83.75,29.1,34.2,11.5,3.3
Marquese Chriss,2016,PF,80.75,233.0,105.0,84.25,32.5,38.5,11.93,3.26
Elgin Cook,2016,SF,77.0,209.8,100.5,82.0,29.4,34.8,11.4,3.3
Isaiah Cousins,2016,PG,75.25,194.0,98.5,78.25,30.5,37.0,10.79,3.24
Deyonta Davis,2016,PF,81.25,237.2,108.5,86.5,28.3,32.8,11.7,3.4
Cheick Diallo,2016,PF,79.5,218.6,107.5,88.5,31.0,35.0,11.24,3.26
Henry Ellenson,2016,PF,82.0,242.0,108.0,86.25,28.1,32.5,11.8,3.4
Perry Ellis,2016,PF,79.0,217.8,102.0,82.25,32.0,38.0,10.73,3.13
Kay Felder,2016,PG,68.25,177.2,88.5,74.5,35.5,44.0,11.52,3.15
Dorian Finney-Smith,2016,SF,78.5,212.6,105.5,83.75,32.5,35.5,11.01,3.27
Michael Gbinije,2016,SG,77.5,204.6,101.0,79.5,33.5,37.5,11.0,3.12
Daniel Hamilton,2016,SG/SF,78.25,197.0,103.5,81.0,26.0,29.0,11.48,3.4
Josh Hart,2016,SG,76.0,203.6,99.5,80.5,29.5,38.5,11.15,3.2
Buddy Hield,2016,SG,75.75,212.4,101.0,81.25,29.5,35.0,11.3,3.3
Demetrius Jackson,2016,PG,72.0,193.8,93.0,77.5,37.5,43.5,10.81,3.25
Brice Johnson,2016,PF,81.0,208.6,106.5,84.5,33.5,38.0,11.88,3.2
Damian Jones,2016,C,82.25,243.6,107.0,87.75,36.0,37.0,11.35,3.2
Skal Labissiere,2016,PF/C,82.5,215.8,105.5,86.5,28.6,33.4,11.6,3.3
Jake Layman,2016,SF,80.0,208.6,102.0,81.25,33.0,39.5,11.35,3.24
Marcus Lee,2016,PF/C,81.0,211.0,107.5,87.0,28.5,35.5,11.68,3.25
Caris LeVert,2016,SG,77.75,191.0,101.0,82.0,29.7,35.4,11.2,3.3
Thon Maker,2016,PF,83.75,216.0,110.5,87.0,32.0,36.5,11.15,3.33
Patrick McCaw,2016,PG/SG,77.25,180.8,100.5,82.0,30.0,38.0,11.01,3.3
Georges Niang,2016,PF,78.75,230.8,103.0,82.0,25.0,31.0,11.64,3.49
Chinanu Onuaku,2016,C,81.0,245.2,108.5,86.75,27.5,33.5,11.65,3.5
Marcus Paige,2016,PG,72.5,163.8,97.0,78.25,33.5,39.5,10.82,3.15
Gary Payton II,2016,PG,74.0,183.8,99.5,80.0,31.5,38.5,11.57,3.23
Jakob Poeltl,2016,C,84.25,239.0,111.5,86.75,27.8,32.1,11.8,3.4
Taurean Prince,2016,SF,78.5,220.2,102.0,83.5,34.0,36.0,10.96,3.24
Zhou Qi,2016,PF/C,85.25,218.2,112.5,91.75,31.5,32.0,11.27,3.46
Malachi Richardson,2016,SG/SF,76.75,199.6,101.5,84.0,33.0,38.0,10.56,3.33
Wayne Selden,2016,SG,76.25,232.4,101.0,82.5,29.0,34.1,11.5,3.3
Pascal Siakam,2016,PF,80.25,226.6,107.5,87.25,30.5,36.5,11.25,3.41
Diamond Stone,2016,C,81.0,254.4,108.5,86.75,27.0,29.5,12.02,3.5
Tyler Ulis,2016,PG,68.75,149.2,88.5,74.0,32.5,38.0,10.8,3.2
Jarrod Uthoff,2016,PF,80.5,214.4,104.0,83.5,29.0,34.5,11.52,3.5
Denzel Valentine,2016,SG/SF,76.0,210.4,102.0,82.75,27.0,32.0,10.51,3.46
Isaiah Whitehead,2016,PG/SG,75.25,210.0,100.0,80.75,27.5,35.5,11.65,3.34
Troy Williams,2016,SF,77.75,217.8,102.0,80.25,30.0,36.0,10.72,3.35
Kyle Wiltjer,2016,PF,80.75,242.8,102.5,84.25,28.5,35.5,11.35,3.48
Stephen Zimmerman,2016,C,82.25,234.0,108.5,87.25,26.0,31.0,12.08,3.43
Cliff Alexander,2015,PF/C,79.25,239.2,109.5,87.5,28.5,33.2,11.7,3.3
Justin Anderson,2015,SG/SF,77.25,230.6,101.0,83.75,38.0,43.0,11.13,3.22
Brandon Ashley,2015,PF,79.25,228.0,105.0,87.75,31.5,35.5,11.21,3.58
Ryan Boatright,2015,PG,70.0,169.6,92.5,72.5,32.0,41.0,10.71,3.26
Devin Booker,2015,SG,76.5,205.8,102.5,80.25,27.5,34.5,10.27,3.28
Anthony Brown,2015,SG/SF,77.75,211.0,104.5,83.0,27.5,34.5,10.94,3.18
Willie Cauley-Stein,2015,C,83.25,242.4,111.0,87.0,27.9,32.2,11.8,3.4
Rakeem Christmas,2015,PF/C,80.25,242.6,110.5,89.25,29.0,32.0,11.6,3.47
Pat Connaughton,2015,SG,76.0,215.0,96.0,80.0,37.5,44.0,10.58,3.2
Quinn Cook,2015,PG,72.25,179.0,96.5,76.0,24.5,31.0,11.44,3.38
Branden Dawson,2015,PF,77.5,230.2,105.0,83.0,28.5,34.5,12.22,3.2
Sam Dekker,2015,SF,79.75,218.6,106.0,83.5,25.5,34.5,10.64,3.28
Michael Frazier II,2015,SG,75.75,199.4,101.5,80.0,27.0,35.0,10.66,3.32
Treveon Graham,2015,SF,76.0,219.4,103.0,82.5,28.5,31.5,11.64,3.3
Jerian Grant,2015,PG,75.25,198.0,100.0,79.5,29.9,35.6,11.2,3.2
Olivier Hanlan,2015,PG/SG,75.25,185.8,100.0,78.0,28.0,34.0,11.41,3.25
Montrezl Harrell,2015,PF,79.0,253.4,109.0,88.25,28.2,32.7,11.8,3.3
Aaron Harrison,2015,SG,76.5,209.2,100.5,80.25,28.5,34.5,11.3,3.27
Andrew Harrison,2015,PG,76.5,213.2,100.0,81.0,26.5,33.0,11.2,3.34
Tyler Harvey,2015,SG,74.75,181.4,98.5,77.5,26.0,28.5,10.56,3.44
Corey Hawkins,2015,PG/SG,72.75,191.8,99.5,80.0,28.5,34.0,10.81,3.51
Rondae Hollis-Jefferson,2015,SF,77.5,210.8,104.0,86.0,32.0,38.0,10.41,3.12
Jonathan Holmes,2015,SF/PF,80.25,242.2,107.5,83.5,25.5,31.0,10.95,3.51
Richaun Holmes,2015,PF,80.25,242.8,108.0,85.5,32.5,36.0,11.24,3.32
R.J. Hunter,2015,SG,76.5,185.0,104.0,82.5,27.5,33.5,10.87,3.26
Vince Hunter,2015,PF,78.75,208.4,104.5,83.0,33.5,37.5,11.19,3.26
Dakari Johnson,2015,C,83.0,264.6,112.0,86.0,22.5,25.0,11.76,3.62
Stanley Johnson,2015,SF,77.0,241.8,102.0,83.5,28.7,33.6,11.6,3.3
Tyus Jones,2015,PG,72.5,184.6,97.0,77.0,26.5,32.5,11.84,3.32
Frank Kaminsky,2015,PF/C,83.75,231.2,109.5,83.0,28.1,32.5,11.8,3.4
Kevon Looney,2015,PF,80.0,222.4,110.0,87.5,28.8,33.7,11.6,3.3
Trey Lyles,2015,PF,81.0,241.2,108.0,85.5,28.2,32.7,11.7,3.4
Jarell Martin,2015,PF,80.0,238.6,106.5,81.0,28.5,35.0,11.2,3.27
TJ McConnell,2015,PG,72.5,187.8,96.5,74.0,26.0,31.5,10.95,3.3
Chris McCullough,2015,PF,80.25,199.0,109.0,87.25,29.2,34.5,11.4,3.3
Jordan Mickey,2015,PF,79.0,238.0,106.0,87.25,33.0,37.5,11.72,3.28
Larry Nance,2015,PF,79.5,226.6,108.0,85.5,29.0,37.5,10.93,3.25
Kelly Oubre,2015,SG/SF,77.75,202.8,102.5,86.25,34.5,37.0,11.09,3.32
Cameron Payne,2015,PG,72.75,182.8,97.5,79.25,29.8,35.5,10.9,3.28
Terran Petteway,2015,SG,76.75,209.2,104.5,83.25,25.0,31.0,10.91,3.32
Bobby Portis,2015,PF,81.5,246.2,108.5,86.0,25.0,31.5,11.78,3.56
Norman Powell,2015,SG,75.0,215.4,102.5,82.75,32.5,40.5,10.69,3.2
Michael Qualls,2015,SG/SF,76.0,201.4,104.5,84.25,34.0,39.5,11.88,3.18
Chasson Randle,2015,PG,72.25,178.8,96.5,79.0,33.5,39.5,10.63,3.2
Terry Rozier,2015,PG/SG,72.5,190.2,98.5,80.25,33.0,38.0,10.84,3.15
D'Angelo Russell,2015,PG/SG,75.25,193.4,102.0,81.75,30.0,35.8,11.2,3.2
Keifer Sykes,2015,PG,70.5,167.2,93.0,74.0,34.0,43.0,10.47,3.13
Marcus A. Thornton,2015,PG/SG,73.75,177.4,97.5,79.75,34.5,43.0,10.78,3.02
J.P. Tokoto,2015,SG/SF,77.25,195.8,100.5,82.0,34.5,40.0,10.97,3.27
Myles Turner,2015,PF/C,81.75,238.6,112.0,88.0,28.2,32.7,11.7,3.4
Robert Upshaw,2015,C,82.75,258.2,113.0,89.5,27.6,31.7,11.9,3.4
Rashad Vaughn,2015,SG,75.75,198.6,101.0,79.0,28.0,34.0,11.4,3.21
Chris Walker,2015,PF,80.75,208.0,108.0,86.75,30.5,37.0,11.25,3.35
Dez Wells,2015,SG,75.0,208.8,100.5,81.5,31.5,39.0,10.56,3.2
Alan Williams,2015,PF,79.25,261.4,106.5,85.75,25.5,28.5,12.26,3.5
Justise Winslow,2015,SF,76.5,221.8,104.5,82.25,29.2,34.4,11.4,3.3
Christian Wood,2015,PF,81.25,216.0,111.5,87.25,28.7,33.6,11.6,3.3
Delon Wright,2015,PG,76.25,181.4,101.5,79.5,29.5,31.0,11.16,3.29
Jordan Adams,2014,SG,75.5,208.8,102.0,82.0,24.5,29.5,12.13,3.5
Kyle Anderson,2014,SF,79.5,230.1,107.5,86.75,28.7,33.5,11.6,3.3
Thanasis Antetokounmpo,2014,SF,77.25,205.2,104.5,84.0,31.5,39.5,11.39,3.18
Jordan Bachynski,2014,PF,85.25,254.1,108.5,88.0,29.0,33.0,12.15,3.36
Cameron Bairstow,2014,PF,80.75,252.4,107.0,84.75,31.0,33.5,11.39,3.37
Khem Birch,2014,PF,79.5,208.8,107.0,85.0,30.5,35.5,11.6,3.26
Alec Brown,2014,PF,84.25,231.2,109.0,85.5,27.0,30.0,12.05,3.48
Jabari Brown,2014,SG,75.0,201.9,100.0,80.25,28.0,32.0,11.6,3.5
Markel Brown,2014,SG,74.5,184.4,100.0,80.75,36.5,43.5,12.62,3.18
Deonte Burton,2014,PG,72.0,192.8,97.5,79.0,29.0,39.5,11.28,3.28
Semaj Christon,2014,PG,73.5,186.0,99.0,78.5,30.5,36.5,11.55,3.32
Jordan Clarkson,2014,PG,75.25,186.3,98.0,80.0,33.0,38.5,10.76,3.28
Aaron Craft,2014,PG,72.75,191.6,94.5,74.0,29.0,32.0,10.78,3.26
DeAndre Daniels,2014,SF,79.25,196.0,106.5,86.0,26.5,32.0,11.46,3.44
Spencer Dinwiddie,2014,PG,76.5,204.9,103.0,80.25,29.6,35.1,11.3,3.3
Cleanthony Early,2014,SF,78.0,209.4,101.5,82.75,34.0,40.0,11.15,3.18
Melvin Ejim,2014,SF,77.25,218.5,103.5,83.25,29.5,35.0,11.55,3.14
Tyler Ennis,2014,PG,73.0,181.5,98.0,79.25,29.0,36.0,11.12,3.3
Dante Exum,2014,SG,76.5,196.3,103.0,81.5,31.5,34.5,10.75,3.19
C.J. Fair,2014,SF,78.5,218.1,104.0,81.5,27.0,35.0,11.0,3.32
Aaron Gordon,2014,PF,79.5,220.1,105.0,83.75,32.5,39.0,10.81,3.27
Jerami Grant,2014,SF,78.5,214.0,107.0,86.75,29.1,34.3,11.4,3.3
P.J. Hairston,2014,SG,76.25,228.8,101.0,81.0,32.0,37.0,11.12,3.32
Gary Harris,2014,SG,74.5,204.8,96.0,78.75,29.8,35.5,11.2,3.2
Joe Harris,2014,SG,76.75,215.0,100.0,78.0,28.5,33.5,11.11,3.31
Rodney Hood,2014,SF,79.25,208.2,103.0,80.5,29.0,36.0,11.21,3.38
Cory Jefferson,2014,PF,79.75,218.4,105.0,84.5,33.0,37.5,12.63,3.36
Nick Johnson,2014,SG,73.5,198.0,96.5,79.25,33.5,41.5,10.8,3.27
Sean Kilpatrick,2014,SG,74.5,218.7,99.0,79.0,29.6,35.0,11.3,3.3
Alex Kirk,2014,PF,81.25,252.0,109.5,87.5,28.5,31.5,11.2,3.48
Zach LaVine,2014,PG,76.5,180.9,100.0,80.25,33.5,41.5,10.42,3.19
Devyn Marble,2014,SG,77.0,192.4,102.0,81.0,29.0,35.0,11.32,3.28
James McAdoo,2014,PF,79.5,227.6,106.5,86.25,29.5,34.0,11.61,3.28
K.J. McDaniels,2014,SF,76.5,195.6,102.0,83.25,33.0,37.0,12.71,3.1
Doug McDermott,2014,SF,78.25,218.0,103.0,81.25,28.5,36.5,11.1,3.29
Jordan McRae,2014,SG,75.75,179.4,104.0,84.5,27.5,34.5,11.07,3.39
Shabazz Napier,2014,PG,71.0,175.2,93.0,75.25,30.5,37.5,11.6,3.2
Johnny O'Bryant III,2014,PF,79.25,256.8,105.0,86.25,31.0,35.5,11.57,3.45
Lamar Patterson,2014,SG,76.0,226.0,101.0,83.0,27.5,32.5,11.63,3.45
Adreian Payne,2014,PF,81.0,238.5,109.0,88.0,28.3,32.8,11.7,3.4
Elfrid Payton,2014,PG,74.5,185.4,98.5,80.0,31.5,35.5,11.06,3.23
Dwight Powell,2014,PF,81.5,234.4,105.0,84.5,28.5,35.0,11.28,3.2
Julius Randle,2014,PF,79.75,249.7,105.5,84.0,29.0,35.5,11.45,3.27
Glenn Robinson III,2014,SF,77.5,211.4,100.5,82.0,36.5,41.5,11.22,3.15
LaQuinton Ross,2014,SF,78.5,238.7,106.0,85.75,25.0,31.0,11.97,3.44
Marcus Smart,2014,PG,74.0,227.2,99.0,81.25,33.0,36.0,10.82,3.26
Russ Smith,2014,PG,71.5,160.0,95.0,75.5,29.5,34.0,11.57,3.27
Nik Stauskas,2014,SG,77.25,206.9,102.0,79.75,29.0,35.5,10.79,3.27
Jarnell Stokes,2014,PF,79.0,262.8,103.5,85.25,31.0,36.0,11.92,3.26
Xavier Thames,2014,PG,74.25,187.0,96.0,76.0,29.0,32.5,11.48,3.48
Noah Vonleh,2014,PF,80.0,247.1,108.0,88.25,31.0,37.0,11.45,3.28
T.J. Warren,2014,SF,79.0,220.2,104.0,82.25,27.0,35.5,11.1,3.26
C.J. Wilcox,2014,SG,75.5,201.0,100.5,81.75,31.0,37.5,11.3,3.22
Kendall Williams,2014,PG,74.25,183.0,99.0,77.5,27.0,33.0,10.83,3.2
James Young,2014,SG,77.25,213.3,104.0,84.0,28.0,35.5,11.4,3.3
Patric Young,2014,PF,80.5,246.8,103.5,85.75,32.0,37.5,11.18,3.43
Steven Adams,2013,C,82.75,254.5,109.5,88.5,28.5,33.0,11.85,3.4
Vander Blue,2013,SG,75.5,197.4,100.5,78.0,28.0,37.5,10.4,3.14
Lorenzo Brown,2013,PG,76.0,189.2,100.0,79.0,28.0,34.0,11.78,3.4
Reggie Bullock,2013,SG/SF,77.75,199.8,102.0,80.75,31.0,36.5,11.33,3.31
Trey Burke,2013,PG,71.75,187.0,97.5,77.5,29.5,36.5,11.2,3.16
Kentavious Caldwell-Pope,2013,SG,76.5,203.6,100.5,80.0,29.0,34.5,10.6,3.12
Isaiah Canaan,2013,PG,71.0,188.4,94.5,76.5,33.0,40.5,10.98,3.22
Jackie Carmichael,2013,PF,79.5,241.2,107.0,85.5,30.0,32.0,11.83,3.35
Michael Carter-Williams,2013,PG,76.75,184.4,101.0,79.25,31.5,41.0,10.68,3.22
Will Clyburn,2013,SG/SF,77.75,210.4,105.0,84.25,28.0,34.5,11.68,3.38
Robert Covington,2013,SF/PF,78.25,208.6,106.0,85.75,29.5,36.0,11.69,3.34
Allen Crabbe,2013,SG,77.25,197.4,103.5,83.25,30.5,36.0,10.67,3.32
Seth Curry,2013,SG,73.0,179.2,97.5,76.0,30.6,36.8,11.0,3.2
Brandon Davies,2013,PF,80.5,241.8,108.5,85.5,26.0,31.5,11.22,3.5
Dewayne Dedmon,2013,C,82.0,238.8,109.0,88.0,28.0,32.5,12.75,3.4
Gorgui Dieng,2013,C,81.75,229.6,111.5,87.5,28.4,33.0,11.7,3.3
James Ennis,2013,SF,77.75,200.8,104.5,83.5,29.5,36.5,11.55,3.4
Carrick Felix,2013,SG/SF,76.75,202.6,103.5,81.25,32.0,38.5,11.16,3.25
Jamaal Franklin,2013,SG/SF,76.0,190.8,103.5,83.25,29.9,35.7,11.2,3.2
Rudy Gobert,2013,C,84.5,237.6,115.0,92.5,25.0,29.0,12.85,3.57
Archie Goodwin,2013,SG,75.75,189.0,102.0,81.5,30.0,36.0,10.75,3.27
Erick Green,2013,PG,73.5,178.2,98.0,77.75,30.5,36.8,11.0,3.2
Tim Hardaway Jr.,2013,SG,76.5,199.4,101.0,79.0,31.5,37.5,10.68,3.25
Solomon Hill,2013,SF,77.5,226.0,103.0,81.0,29.5,37.5,10.77,3.19
Richard Howell,2013,PF,78.25,249.6,105.5,82.25,28.4,33.0,11.7,3.3
Colton Iverson,2013,C,82.5,262.8,110.0,86.0,26.5,30.0,11.52,3.52
Pierre Jackson,2013,PG,69.5,176.0,90.0,70.0,31.1,37.7,10.8,3.1
Grant Jerrett,2013,PF,80.75,232.0,109.0,86.0,28.5,34.0,11.85,3.51
Myck Kabongo,2013,PG,73.25,180.4,98.0,78.25,27.5,33.5,10.64,3.44
Kenny Kadji,2013,PF/C,80.75,241.6,106.5,87.0,34.0,38.0,11.47,3.44
Ryan Kelly,2013,PF,81.75,228.0,110.0,83.5,28.4,33.1,11.7,3.3
Shane Larkin,2013,PG,70.25,170.8,89.5,70.75,34.5,44.0,10.64,3.08
Ricky Ledo,2013,SG,76.75,197.2,102.5,79.25,27.0,33.5,10.72,3.32
CJ Leslie,2013,SF/PF,79.5,209.2,104.5,86.25,32.5,40.5,10.19,3.1
Trevor Mbakwe,2013,PF,78.75,235.8,106.5,88.0,30.0,36.5,12.01,3.32
Ray McCallum,2013,PG,72.25,191.4,96.5,75.25,30.5,40.0,10.82,3.25
CJ McCollum,2013,PG/SG,74.25,197.0,96.5,78.25,32.0,38.5,11.02,3.32
Ben McLemore,2013,SG,75.5,189.2,100.5,79.75,32.5,42.0,11.87,3.27
Tony Mitchell,2013,SF/PF,79.5,236.4,106.5,86.5,33.5,38.0,11.82,3.52
Shabazz Muhammad,2013,SG/SF,76.75,221.8,104.5,83.0,29.5,37.0,10.99,3.32
Erik Murphy,2013,PF,80.75,239.8,108.0,82.5,24.5,29.5,12.19,3.57
Mike Muscala,2013,PF/C,82.25,230.2,108.0,85.0,28.0,33.5,11.76,3.44
Nerlens Noel,2013,C,82.0,206.4,110.0,87.75,28.8,33.9,11.5,3.3
Victor Oladipo,2013,SG,75.25,213.2,100.5,81.25,33.0,42.0,10.69,3.25
Kelly Olynyk,2013,PF/C,82.75,234.0,108.0,81.75,24.5,29.5,11.42,3.59
Brandon Paul,2013,SG,74.75,201.0,98.0,82.25,33.5,39.5,11.16,3.37
Norvel Pelle,2013,PF/C,81.5,207.2,109.0,86.5,31.0,34.5,11.49,3.32
Mason Plumlee,2013,PF/C,83.25,238.2,108.0,83.0,30.5,36.0,10.89,3.29
Otto Porter,2013,SF,79.5,197.6,105.5,85.5,27.0,36.0,11.25,3.4
Phil Pressey,2013,PG,69.5,177.0,92.0,74.25,33.0,38.5,10.86,3.13
Glen Rice,2013,SG/SF,76.5,210.8,101.5,81.25,33.0,40.5,10.99,3.25
Andre Roberson,2013,SF/PF,78.25,205.8,104.5,83.0,30.0,36.5,11.36,3.34
Dennis Schroder,2013,PG,73.0,164.8,98.0,79.75,30.0,34.0,11.09,3.21
Peyton Siva,2013,PG,71.5,180.6,93.0,75.0,33.5,41.5,10.59,3.16
Tony Snell,2013,SG/SF,78.0,198.2,105.5,83.5,30.0,36.5,11.36,3.25
James Southerland,2013,SF/PF,79.0,220.6,106.0,85.0,29.0,32.0,10.9,3.38
Adonis Thomas,2013,SF,76.75,231.8,99.0,85.0,34.5,40.5,11.64,3.32
Deshaun Thomas,2013,SF,77.0,219.8,104.0,82.0,28.5,32.0,12.94,3.53
Jeff Withey,2013,C,82.75,221.8,110.5,86.0,26.5,29.0,12.49,3.47
Nate Wolters,2013,PG,75.5,196.4,98.0,75.75,29.9,35.6,11.2,3.2
BJ Young,2013,PG/SG,74.25,178.8,99.0,80.25,30.4,36.6,11.0,3.2
Cody Zeller,2013,PF/C,82.75,230.0,106.0,82.75,35.5,37.5,10.82,3.15
Quincy Acy,2012,PF,78.5,223.8,106.5,86.75,32.0,37.0,10.48,3.28
Harrison Barnes,2012,SG/SF,79.0,227.8,101.5,83.25,38.0,39.5,10.93,3.16
Will Barton,2012,SG/SF,77.0,174.4,102.5,81.75,30.0,34.0,12.5,3.6
Bradley Beal,2012,SG,75.25,201.8,100.0,80.0,33.0,39.0,10.95,3.28
J'Covan Brown,2012,PG,73.0,202.4,96.0,77.25,26.0,29.5,11.68,3.47
William Buford,2012,SG/SF,76.0,214.6,102.0,81.5,27.5,32.5,11.4,3.43
Jae Crowder,2012,SF,76.75,241.2,99.5,81.25,31.0,34.5,11.45,3.37
Jared Cunningham,2012,PG/SG,75.5,187.6,98.0,78.5,30.1,36.0,11.1,3.2
Anthony Davis,2012,PF/C,81.25,221.8,108.0,89.5,28.6,33.4,11.6,3.3
